x, y, z
26209.73,3007.39,-89.51
26206.09,3030.73,26.08
26214.58,3057.93,-7.47
26214.82,3058.66,-24.90
26211.00,3067.32,80.71
26228.85,3025.82,170.62
26221.33,3039.64,176.28
26233.15,3028.90,54.52
26201.59,3051.28,-21.95
26213.49,3034.54,70.00
26205.00,3042.83,84.28
26208.97,3058.35,56.32
26221.61,3036.27,54.60
26210.23,3059.70,-34.48
26245.89,3031.03,188.05
26208.16,3068.09,60.65
26221.60,3046.05,100.90
26209.40,3052.33,68.15
26201.26,3053.23,94.43
26226.13,3071.79,89.91
26211.72,3045.28,-1.16
26238.20,3055.37,41.34
27268.78,4531.25,204.48
26193.82,3065.78,23.56
26223.39,3030.25,26.66
26207.01,3032.48,146.37
26247.63,3059.86,72.95
26239.04,3053.64,93.23
26239.93,3034.57,58.92
26218.77,3040.47,67.78
26223.83,3031.55,107.22
26245.77,3061.23,42.76
26228.60,3041.51,15.19
26248.06,3028.32,52.71
26220.50,3041.07,32.59
26211.97,3035.08,76.16
26242.94,3027.21,109.14
26234.32,3031.99,42.33
26242.07,3049.78,-24.37
26214.95,3020.07,54.34
26207.63,3021.33,32.92
26217.62,3031.23,66.11
26227.58,3020.47,21.78
26235.14,3029.91,19.90
26238.01,3028.31,19.88
26242.57,3028.89,84.00
26218.54,3032.08,78.08
26240.60,3031.91,-6.08
26212.91,3025.42,9.81
26243.20,3036.44,45.93
26221.01,2998.91,-34.81
26236.20,3019.74,56.51
26242.65,3013.63,-54.35
26211.88,3026.25,127.73
26213.01,3007.10,-30.03
26243.38,3017.14,232.64
26208.11,3036.70,55.01
26233.17,3041.31,25.66
26213.20,3035.90,22.11
26219.89,3026.09,99.23
26229.75,3034.93,-2.95
26260.35,3004.51,68.44
26240.66,3025.71,88.69
27257.16,4497.09,230.80
26204.72,3015.10,-46.17
26224.08,3019.77,57.02
26220.58,3014.87,23.72
26237.35,3015.28,18.84
26223.71,3035.09,42.18
26225.84,3024.59,65.14
26236.45,3029.86,-91.70
26259.09,3016.46,60.76
26221.99,3026.02,68.39
26236.12,3024.90,66.76
26253.12,3024.03,110.33
26233.12,3042.09,78.41
26242.13,3059.22,58.67
26260.89,3000.32,72.75
26211.93,3039.96,65.37
26223.10,3015.82,62.63
26240.62,3011.60,63.33
26242.39,3009.65,97.19
27259.42,4509.33,-298.41
26216.29,3030.11,80.57
26234.94,3028.16,48.16
26211.94,3029.26,152.70
26215.63,3020.12,66.80
26204.91,3026.95,104.57
26219.70,3029.55,74.64
26229.51,3024.62,18.12
26204.69,2997.27,203.93
26221.07,3027.22,118.66
26239.21,3045.29,189.83
26223.33,3011.06,155.63
26214.30,3022.63,-23.69
26228.08,3018.50,119.85
26258.61,3024.04,57.68
26244.80,3022.25,73.96
26207.09,3021.90,97.48
26226.92,3052.25,93.91
26227.69,3017.74,132.67
26205.29,3019.34,78.64
26216.74,3047.73,53.39
26192.12,3039.14,223.43
26232.10,3039.19,61.47
26245.05,3035.79,98.47
26237.08,3026.66,82.92
26225.25,3043.77,25.13
26232.16,3023.20,-49.74
27262.54,4501.36,212.17
26249.35,3024.19,56.92
26226.24,3025.47,-99.55
26211.43,3027.79,50.35
26207.02,3018.05,176.08
27278.72,4536.98,-280.14
26246.08,3015.13,54.96
26211.74,3047.59,32.69
26222.16,3030.26,137.61
26213.05,3032.37,86.61
26197.21,3044.38,-64.27
26235.87,3049.92,98.00
26208.44,3040.53,75.58
26181.52,3043.85,124.18
26215.28,3024.16,119.55
26252.02,3042.36,4.43
26251.72,3020.83,99.38
26262.58,3002.73,71.14
26254.06,3029.35,140.95
27268.92,4501.81,211.68
26223.73,3036.80,-15.96
26234.65,3038.36,31.53
26228.71,3035.80,24.23
26241.42,3029.97,36.20
26218.06,3029.76,-29.40
26248.87,3039.25,41.55
26229.28,3037.32,8.84
26230.02,3055.99,104.38
26232.74,3034.01,66.38
26212.62,3031.77,-36.05
26243.63,3026.79,3.09
26203.63,3020.10,99.31
27233.42,4511.21,200.76
26202.04,3047.25,77.34
26221.89,3037.95,125.60
26227.57,3032.39,42.67
26206.83,3048.29,-20.86
26222.61,3042.90,74.32
26239.10,3049.28,55.19
26228.81,3026.88,24.75
26243.05,3012.60,98.03
26227.17,3021.34,8.20
26220.89,3020.84,53.41
26208.93,3025.14,-56.43
26245.04,3033.53,8.65
26275.54,3016.57,45.33
26210.19,3014.21,102.25
26228.42,3028.04,145.80
26225.09,3028.80,32.05
26249.01,3019.35,62.68
26225.40,3044.24,-7.42
26241.10,3047.51,-91.29
26247.51,3040.18,53.02
26235.02,3055.16,85.88
26225.02,3049.98,109.04
26196.74,3046.79,115.21
26240.68,3034.83,74.71
26247.69,3015.85,104.71
26219.26,3035.52,109.72
26235.81,3018.85,56.43
26247.53,3036.09,67.58
26228.24,3019.53,-4.36
26238.76,3027.38,56.72
26234.82,3034.61,48.90
26194.33,3024.46,143.48
26217.20,3047.12,141.03
26234.28,3046.20,101.49
26200.26,3037.37,142.81
26223.34,3028.23,86.25
26240.33,3022.52,-10.95
26238.81,3036.63,56.57
26210.93,3048.70,61.10
26189.83,3027.17,92.99
26208.03,3040.69,81.08
26236.01,3038.09,60.66
26261.58,3036.28,110.26
26231.59,3023.13,111.38
26200.85,3013.21,-176.94
26213.00,3039.47,95.06
26236.38,3024.44,113.77
26240.89,3046.99,82.25
26234.79,3058.60,83.69
