x, y, z
26348.90,4409.50,6.09
26396.37,2845.34,19.91
26264.54,2978.06,44.72
26415.54,4388.15,-33.88
26192.75,2937.59,-228.50
26274.62,2953.73,40.91
26875.07,2778.06,35.67
26876.64,2760.31,95.46
26884.43,2744.82,38.24
26922.75,2776.42,94.29
27731.19,3126.11,-12.29
26902.86,2785.73,37.71
26931.28,2774.20,34.47
27197.01,4672.76,-35.67
27279.68,4661.08,168.44
26905.91,2570.15,22.61
26943.35,2577.48,37.47
27962.51,3614.99,81.61
27986.17,3575.55,308.38
26427.21,2867.76,31.35
26422.69,2859.11,41.56
26412.30,2865.21,-10.17
27886.56,4097.97,-156.47
26419.38,2858.90,34.62
26410.69,2868.23,25.24
26409.40,2869.49,38.95
26418.55,2862.82,17.57
26769.16,2729.12,32.72
26056.70,3240.49,14.51
26065.82,3249.07,41.43
26170.70,4348.13,-44.62
27142.80,4760.42,-6.55
27173.49,4715.26,27.76
26795.45,3005.85,29.78
27180.04,4735.39,-24.32
27461.27,2924.94,10.95
27466.00,2902.88,139.42
26752.59,3012.89,42.65
26101.40,3094.95,237.37
27201.81,4720.44,41.45
26420.13,4479.12,182.18
26364.15,4516.12,-122.22
26116.93,3105.95,85.51
26163.58,3931.63,205.26
26688.50,2689.63,-124.58
26789.31,2725.21,48.62
27436.12,2885.01,28.51
26759.98,2756.20,30.34
26774.66,2750.73,72.79
26729.83,2751.69,70.93
27691.24,4494.36,-63.19
26171.64,4240.95,-181.68
26603.07,4565.21,20.49
26943.74,4146.20,106.50
26339.71,4475.41,-59.49
27842.58,4358.07,-51.72
27855.23,4355.22,-15.01
27880.37,4369.06,-80.90
27091.48,2770.22,54.88
27336.76,4414.22,-120.70
28040.05,3736.08,273.99
27924.52,3810.32,-42.63
26011.65,3436.83,59.20
26487.33,2812.80,8.68
26630.34,4649.79,-136.03
26835.09,4694.20,-218.39
26474.96,4418.97,51.69
26373.34,4443.07,-10.22
26294.67,4548.76,-143.97
27965.21,3847.22,231.54
26031.49,3230.72,137.35
26728.27,2860.25,102.08
27922.83,3847.47,-181.55
26685.81,2919.67,203.85
26692.43,4611.33,-39.02
26682.66,4620.58,-109.58
27473.40,2918.82,16.46
27504.71,2910.84,-246.53
26743.60,4670.81,-164.21
28038.80,3693.29,283.16
27848.89,4370.43,-38.93
27963.27,3687.52,154.73
27967.92,3648.37,130.98
26262.44,2970.75,-281.84
27806.23,3209.06,-162.79
26882.90,2731.17,-132.66
26901.39,2795.42,89.88
26863.51,2775.48,13.40
26603.86,4459.91,114.13
27897.91,3752.67,-119.60
26062.66,3200.12,188.09
26294.30,4368.25,-151.38
27924.78,3788.49,-106.36
27849.85,4316.22,-25.15
26521.88,4408.42,62.56
26549.23,4433.16,244.21
26427.36,4430.02,288.16
26819.39,2764.47,30.01
26911.93,4685.34,-182.79
26810.76,2761.22,46.73
26844.20,2764.63,30.58
26833.13,2777.00,78.17
26840.91,2772.44,28.85
26842.78,2787.28,46.99
26839.40,2779.49,88.35
26656.40,4630.80,38.15
26774.93,2877.17,106.21
26689.03,4574.26,22.10
26896.93,2782.76,24.03
26937.78,2760.20,21.52
26943.16,2753.93,48.92
28019.09,3584.85,220.26
26566.81,4539.62,-69.62
26656.48,4587.08,60.32
26043.47,3245.58,-3.69
26377.00,3506.05,-83.54
26347.80,4379.66,-79.22
26671.40,2752.68,24.96
27898.78,3814.66,-88.23
26574.21,4348.56,48.87
26578.97,4402.02,-9.81
